Run	Year	A. Progress Ratio	A. Annual Production	A. Cumulative Subsidies	B. Progress Ratio	B. Annual Production	B. Cumulative Subsidies
246	2025	0.635	6383220612.02	4322790100.092	0.635	301352741.333	732520427.454
246	2030	0.635	16933588375.4	13043043390.342	0.635	341335310.4	979424934.712
247	2015	0.635	0	0	0.635	0	158351010.489
247	2020	0.635	15350785.7908	611866474.6228	0.635	13336358.6382	386326413.1347
247	2025	0.635	6577991383.79	4351518549.062	0.635	120920651.858	562998555.606
247	2030	0.635	17175350016.5	13227309006.342	0.635	141170071.427	663306000.272
248	2015	0.635	0	0	0.635	0	158486735.484
248	2020	0.635	15350785.7908	611866474.6228	0.635	13262647.4406	385526886.1286
248	2025	0.635	6674238340.42	4367807410.977	0.635	16513209.3666	546651231.815
248	2030	0.635	17278804543	13329173826.997	0.635	22483149.1033	561474729.113
249	2015	0.635	0	0	0.635	0	158667171.375
249	2020	0.635	15350785.7908	611866474.6228	0.635	13233712.5705	385889726.277
249	2025	0.635	6708176758.86	4382411883.037	0.635	16060956.4308	544870080.442
249	2030	0.635	17313781814.5	13369319165.597	0.635	21998114.3558	559338760.219
250	2015	0.635	0	0	0.635	0	158814857.154
250	2020	0.635	15350785.7908	611866474.6228	0.635	13189951.2963	385079235.1269
250	2025	0.635	6708802603.14	4390507190.067	0.635	15604692.2647	540681453.744
250	2030	0.635	17314073279.1	13390189411.897	0.635	21513256.7354	554794369.998
251	2015	0.635	0	0	0.635	0	159003621.123
251	2020	0.635	15350785.7908	611866474.6228	0.635	13159968.9015	385488270.4808
251	2025	0.635	6739449302.03	4391608819.481	0.635	15118268.3577	538936111.046
251	2030	0.635	17347840776.6	13394485799.561	0.635	20977023.3494	552661829.554
252	2015	0.635	0	0	0.635	0	159195805.535
252	2020	0.635	15350785.7908	611866474.6228	0.635	13132248.9767	385850431.1702
252	2025	0.635	6739515077.63	4392594601.421	0.635	14626148.142	536001580.129
252	2030	0.635	17347887639.1	13398656713.861	0.635	20432016.1711	549334872.379
253	2015	0.635	0	0	0.635	0	159361536.367
253	2020	0.635	15350785.7908	611866474.6228	0.635	13088745.186	385137554.434
253	2025	0.635	6739580798.22	4393324774.751	0.635	14114045.2587	531927423.993
253	2030	0.635	17347941642.4	13402579245.961	0.635	19862172.0179	544851600.939
254	2015	0.635	0	0	0.635	0	159562770.162
254	2020	0.635	15350785.7908	611866474.6228	0.635	13059109.7383	385563974.6556
254	2025	0.635	6739628306.69	4393710555.408	0.635	13585640.6559	529067815.884
254	2030	0.635	17347944090.9	13402974601.358	0.635	19260165.2005	541564362.62
255	2015	0.635	0	0	0.635	0	159742184.441
255	2020	0.635	15350785.7908	611866474.6228	0.635	13015711.5576	384928221.5191
255	2025	0.635	6739620830.43	4394223707.868	0.635	13037160.519	525092409.758
255	2030	0.635	17347921954.3	13403940786.158	0.635	18631900.0452	537144123.871
256	2015	0.635	0	0	0.635	0	159953032.743
256	2020	0.635	15350785.7908	611866474.6228	0.635	12983796.5627	385426663.4112
256	2025	0.635	6739630126.46	4394233569.298	0.635	12473992.1533	522318567.06
256	2030	0.635	17347991445.5	13406671176.058	0.635	17973085.4631	533908306.366
257	2015	0.635	0	0	0.635	0	160146929.84
257	2020	0.635	15349425.9498	611931445.832	0.635	12940203.6546	384876758.3219
257	2025	0.635	6739633029.34	4395873981.302	0.635	11891456.7641	518454523.703
257	2030	0.635	17347993737	13408313873.892	0.635	17287799.299	529565358.184
258	2015	0.635	0	0	0.635	0	160367997.072
258	2020	0.635	15349425.9498	611931445.832	0.635	12895961.0222	385455419.6781
258	2025	0.635	6739818507.54	4401393709.232	0.635	11265045.9485	515680891.868
258	2030	0.635	17348029549.2	13413895012.592	0.635	16544772.1505	526274636.392
259	2015	0.635	0	0	0.635	0	160577241.236
259	2020	0.635	15349425.9498	611931445.832	0.635	12726309.1207	384293715.7289
259	2025	0.635	6739876213.68	4406297415.624	0.635	10669523.8094	509807111.476
259	2030	0.635	17348043588.7	13418820318.124	0.635	15829324.0848	519906445.192
260	2015	0.635	0	0	0.635	0	160809174.084
260	2020	0.635	15349425.9498	611931445.832	0.635	12705852.6436	385015392.9679
260	2025	0.635	6739906347.07	4406719089.114	0.635	10025996.9856	506177044.156
260	2030	0.635	17348028484.9	13419390713.124	0.635	15049349.6898	515739710.029
261	2015	0.635	0	0	0.635	0	161034699.112
261	2020	0.635	15349425.9498	611931445.832	0.635	12685961.3361	384756461.7196
261	2025	0.635	6739931738.52	4406948630.224	0.635	9393551.47999	501663777.113
261	2030	0.635	17348028596.2	13419941695.424	0.635	14272298.6109	510695603.055
262	2015	0.635	0	0	0.635	0	161278189.729
262	2020	0.635	15349425.9498	611931445.832	0.635	12664485.4636	385609551.6869
262	2025	0.635	6739990313.21	4407262931.514	0.635	8753603.85725	497255658.783
262	2030	0.635	17348033278.2	13420903586.724	0.635	13478714.3132	505748136.303
263	2015	0.6525	0	0	0.6525	0	157617041.451
263	2020	0.6525	15332969.0244	750665167.8702	0.6525	13521584.9658	533965371.76
263	2025	0.6525	4085885051.11	3710801520.398	0.6525	1879643243.59	1033936341.656
263	2030	0.6525	13559367148.4	10521527219.528	0.6525	2939915553.42	2659987607.32
264	2015	0.6525	0	0	0.6525	0	157726482.006
264	2020	0.6525	15332969.0244	750665167.8702	0.6525	13469248.2087	533207148.8698
264	2025	0.6525	4348206300.47	3760971187.248	0.6525	1577495578.25	977055168.912
264	2030	0.6525	14385498901.7	10868451894.108	0.6525	2122777531.56	2298332430.895
265	2015	0.6525	0	0	0.6525	0	157888850.034
265	2020	0.6525	15332969.0244	750665167.8702	0.6525	13441247.8833	533563565.2294
265	2025	0.6525	4609116716.98	3804121176.698	0.6525	1334822804.87	929190763.482
265	2030	0.6525	14971066303.9	11149904288.008	0.6525	1619325615.83	2019031173.298
266	2015	0.6525	0	0	0.6525	0	158054046.604
266	2020	0.6525	15332969.0244	750690411.1642	0.6525	13412425.0693	533995356.3286
266	2025	0.6525	4903418887.36	3859084722.142	0.6525	1038172829.71	877955609.503
266	2030	0.6525	15385163435.7	11451415068.402	0.6525	1209962470.42	1719240836.27
267	2015	0.6525	0	0	0.6525	0	158178420.114
267	2020	0.6525	15332969.0244	750690411.1642	0.6525	13361505.2466	533243198.7575
267	2025	0.6525	5291688912.72	3911278459.342	0.6525	689244293.318	818059112.023
267	2030	0.6525	15833759957.3	11795265571.902	0.6525	771867671.465	1379772295.885
268	2015	0.6525	0	0	0.6525	0	158351010.489
268	2020	0.6525	15332969.0244	750690411.1642	0.6525	13336358.6382	533554601.1397
268	2025	0.6525	5615148713.19	3966963846.992	0.6525	350160795.671	760688985.857
